Year,City,Country,Avg_Temp,Corrected Avg_Temp,7 years MA,10 years MA,20 years MA,,,
1816,Ludhiana,India,24.03,24.03,,,,,stdev       =,0.602387841
1817,Ludhiana,India,22.18,22.18,,,,,mean dev=,0.506198347
1818,Ludhiana,India,22.84,22.84,,,,,mean       =,23.56255682
1819,Ludhiana,India,22.25,22.25,,,,,Estimated=,24.068
1820,Ludhiana,India,23.59,23.59,,,,,,
1821,Ludhiana,India,23.15,23.15,,,,,,
1822,Ludhiana,India,23.27,23.27,23.04428571,,,,,
1823,Ludhiana,India,23.81,23.81,23.01285714,,,,,
1824,Ludhiana,India,,24.06,23.28142857,,,,,
1825,Ludhiana,India,,24.06,23.45571429,23.19857143,,,,
1826,Ludhiana,India,,24.06,23.71428571,23.30171429,,,,
1827,Ludhiana,India,,24.06,23.78142857,23.38166667,,,,
1828,Ludhiana,India,,24.06,23.91142857,23.45734694,,,,
1829,Ludhiana,India,,24.06,24.02428571,23.52821429,,,,
1830,Ludhiana,India,,24.06,24.06,23.58730159,,,,
1831,Ludhiana,India,,24.06,24.06,23.63457143,,,,
1832,Ludhiana,India,,24.06,24.06,23.67324675,,,,
1833,Ludhiana,India,23.18,23.18,23.93428571,23.75415584,,,,
1834,Ludhiana,India,23.16,23.16,23.80571429,23.82623377,,,,
1835,Ludhiana,India,22.27,22.27,23.55,23.85064935,23.56306112,,,
1836,Ludhiana,India,22.19,22.19,23.28285714,23.83493506,23.58571728,,,
1837,Ludhiana,India,23.58,23.58,23.21428571,23.78948052,23.60139138,,,
1838,Ludhiana,India,26.83,26.83,23.61,23.7738961,23.61371314,,,
1839,Ludhiana,India,,24.06,23.61,23.74649351,23.62256517,,,
1840,Ludhiana,India,22.99,22.99,23.58285714,23.70636364,23.62780257,,,
1841,Ludhiana,India,23.46,23.46,23.62571429,23.66688312,23.63010143,,,
1842,Ludhiana,India,24.4,24.4,23.93,23.65506494,23.63148829,,,
1843,Ludhiana,India,23.16,23.16,24.06857143,23.65584416,23.63277018,,,
1844,Ludhiana,India,22.68,22.68,23.94,23.65636364,23.63394985,,,
1845,Ludhiana,India,22.94,22.94,23.38428571,23.61805195,23.65492388,,,
1846,Ludhiana,India,23.57,23.57,23.31428571,23.59662338,23.66966933,,,
1847,Ludhiana,India,23.06,23.06,23.32428571,23.60038961,23.68060548,,,
1848,Ludhiana,India,22.72,22.72,23.21857143,23.60077922,23.68777709,,,
1849,Ludhiana,India,22.84,22.84,22.99571429,23.54493506,23.68861313,,,
1850,Ludhiana,India,23.07,23.07,22.98285714,23.48792208,23.68364416,,,
1851,Ludhiana,India,23.05,23.05,23.03571429,23.43818182,23.67382468,,,
1852,Ludhiana,India,23,23,23.04428571,23.38532468,23.65942857,,,
1853,Ludhiana,India,23.13,23.13,22.98142857,23.29909091,23.63667532,,,
1854,Ludhiana,India,23.33,23.33,23.02,23.20376623,23.60555195,,,
1855,Ludhiana,India,23.73,23.73,23.16428571,23.13324675,23.56968182,,,
1856,Ludhiana,India,22.3,22.3,23.08714286,23.10623377,23.53324675,,,
1857,Ludhiana,India,18.53,18.53,22.43857143,23.02662338,23.4951039,,,
1858,Ludhiana,India,,24.06,22.58285714,22.95922078,23.45437013,,,
1859,Ludhiana,India,,24.06,22.73428571,22.91519481,23.41280519,,,
1860,Ludhiana,India,,24.06,22.86714286,22.90350649,23.37266234,,,
1861,Ludhiana,India,,24.06,22.97142857,22.90246753,23.33444156,,,
1862,Ludhiana,India,,24.06,23.01857143,22.90090909,23.29673377,,,
1863,Ludhiana,India,,24.06,23.27,22.92142857,23.26001299,,,
1864,Ludhiana,India,,24.06,24.06,23.01948052,23.22816883,,,
1865,Ludhiana,India,,24.06,24.06,23.11402597,23.20296753,,,
1866,Ludhiana,India,,24.06,24.06,23.19545455,23.18290909,,,
1867,Ludhiana,India,,24.06,24.06,23.2838961,23.16708442,,,
1868,Ludhiana,India,,24.06,24.06,23.4312987,23.15861039,,,
1869,Ludhiana,India,,24.06,24.06,23.56558442,23.15964286,,,
1870,Ludhiana,India,23.3,23.3,23.95142857,23.67623377,23.16905844,,,
1871,Ludhiana,India,23.21,23.21,23.83,23.76376623,23.18533766,,,
1872,Ludhiana,India,23.34,23.34,23.72714286,23.83246753,23.20769481,,,
1873,Ludhiana,India,23.45,23.45,23.64,23.88896104,23.23718831,,,
1874,Ludhiana,India,22.71,22.71,23.44714286,23.90506494,23.27225325,,,
1875,Ludhiana,India,23.73,23.73,23.4,23.84506494,23.30784416,,,
1876,Ludhiana,India,23,23,23.24857143,23.7712987,23.3410974,,,
1877,Ludhiana,India,23.06,23.06,23.21428571,23.69441558,23.37448701,,,
1878,Ludhiana,India,23.1,23.1,23.19857143,23.6161039,23.40733117,,,
1879,Ludhiana,India,23.5,23.5,23.22142857,23.53987013,23.43856494,,,
1880,Ludhiana,India,24.12,24.12,23.31714286,23.47233766,23.46700649,,,
1881,Ludhiana,India,23.83,23.83,23.47714286,23.42922078,23.49334416,,,
1882,Ludhiana,India,23.36,23.36,23.42428571,23.39233766,23.51791558,,,
1883,Ludhiana,India,23.27,23.27,23.46285714,23.36831169,23.54025974,,,
1884,Ludhiana,India,23.05,23.05,23.46142857,23.35207792,23.55688961,,,
1885,Ludhiana,India,22.7,22.7,23.40428571,23.34818182,23.5685974,,,
1886,Ludhiana,India,23.13,23.13,23.35142857,23.34376623,23.57601299,,,
1887,Ludhiana,India,23.27,23.27,23.23,23.34207792,23.57892208,,,
1888,Ludhiana,India,23.3,23.3,23.15428571,23.33662338,23.57418831,,,
1889,Ludhiana,India,23.49,23.49,23.17285714,23.33428571,23.56262338,,,
1890,Ludhiana,India,23.17,23.17,23.15857143,23.32857143,23.54524026,,,
1891,Ludhiana,India,22.83,22.83,23.12714286,23.3112987,23.52261688,,,
1892,Ludhiana,India,23.91,23.91,23.3,23.29519481,23.49575325,,,
1893,Ludhiana,India,22.3,22.3,23.18142857,23.27311688,23.46496104,,,
1894,Ludhiana,India,22.98,22.98,23.14,23.24376623,23.4318961,,,
1895,Ludhiana,India,23.57,23.57,23.17857143,23.21805195,23.40054545,,,
1896,Ludhiana,India,24.05,24.05,23.25857143,23.20480519,23.37222078,,,
1897,Ludhiana,India,23.36,23.36,23.28571429,23.19883117,23.34744156,,,
1898,Ludhiana,India,23.88,23.88,23.43571429,23.21753247,23.32751299,,,
1899,Ludhiana,India,24.1,24.1,23.46285714,23.24558442,23.3127987,,,
1900,Ludhiana,India,23.65,23.65,23.65571429,23.28948052,23.30365584,,,
1901,Ludhiana,India,23.51,23.51,23.73142857,23.34155844,23.29927273,,,
1902,Ludhiana,India,23.9,23.9,23.77857143,23.40077922,23.29969481,,,
1903,Ludhiana,India,23.24,23.24,23.66285714,23.43376623,23.30296753,,,
1904,Ludhiana,India,23.52,23.52,23.68571429,23.47961039,23.30934416,,,
1905,Ludhiana,India,22.91,22.91,23.54714286,23.51662338,23.31776623,,,
1906,Ludhiana,India,23.43,23.43,23.45142857,23.54142857,23.32764935,,,
1907,Ludhiana,India,23.11,23.11,23.37428571,23.55194805,23.33814286,,,
1908,Ludhiana,India,23.46,23.46,23.36714286,23.55935065,23.34927922,,,
1909,Ludhiana,India,22.99,22.99,23.23714286,23.5412987,23.35962987,,,
1910,Ludhiana,India,23.1,23.1,23.21714286,23.51896104,23.36914935,,,
1911,Ludhiana,India,23.54,23.54,23.22,23.47935065,23.37755195,,,
1912,Ludhiana,India,23.54,23.54,23.31,23.44103896,23.38484416,,,
1913,Ludhiana,India,22.92,22.92,23.23714286,23.39181818,23.39077922,,,
1914,Ludhiana,India,23.11,23.11,23.23714286,23.35311688,23.39624675,,,
1915,Ludhiana,India,24.21,24.21,23.34428571,23.32207792,23.40144805,,,
1916,Ludhiana,India,23.53,23.53,23.42142857,23.31064935,23.40674026,,,
1917,Ludhiana,India,22.51,22.51,23.33714286,23.30025974,23.41181169,,,
1918,Ludhiana,India,23.53,23.53,23.33571429,23.29675325,23.41577273,,,
1919,Ludhiana,India,23.29,23.29,23.3,23.29064935,23.41802597,,,
1920,Ludhiana,India,23.26,23.26,23.34857143,23.30077922,23.41859091,,,
1921,Ludhiana,India,24.52,24.52,23.55,23.33103896,23.41806494,,,
1922,Ludhiana,India,23.57,23.57,23.45857143,23.35272727,23.41566234,,,
1923,Ludhiana,India,23.26,23.26,23.42,23.36272727,23.41211039,,,
1924,Ludhiana,India,23.29,23.29,23.53142857,23.38948052,23.4076039,,,
1925,Ludhiana,India,23.14,23.14,23.47571429,23.41116883,23.40233117,,,
1926,Ludhiana,India,22.94,22.94,23.42571429,23.41857143,23.39618831,,,
1927,Ludhiana,India,23.05,23.05,23.39571429,23.41623377,23.3894026,,,
1928,Ludhiana,India,23.81,23.81,23.29428571,23.41233766,23.38205195,,,
1929,Ludhiana,India,23.54,23.54,23.29,23.40818182,23.3753961,,,
1930,Ludhiana,India,23.1,23.1,23.26714286,23.40519481,23.36970779,,,
1931,Ludhiana,India,23.64,23.64,23.31714286,23.40233766,23.36585714,,,
1932,Ludhiana,India,23.93,23.93,23.43,23.39142857,23.36337662,,,
1933,Ludhiana,India,23.02,23.02,23.44142857,23.38987013,23.36327922,,,
1934,Ludhiana,India,23.53,23.53,23.51,23.39805195,23.36552597,,,
1935,Ludhiana,India,23.16,23.16,23.41714286,23.38766234,23.36880519,,,
1936,Ludhiana,India,23.41,23.41,23.39857143,23.38064935,23.37230519,,,
1937,Ludhiana,India,23.3,23.3,23.42714286,23.38077922,23.37633117,,,
1938,Ludhiana,India,23.72,23.72,23.43857143,23.38467532,23.38072727,,,
1939,Ludhiana,India,23.6,23.6,23.39142857,23.39350649,23.38587013,,,
1940,Ludhiana,India,23.56,23.56,23.46857143,23.40974026,23.39131818,,,
1941,Ludhiana,India,24.59,24.59,23.62,23.44181818,23.39685714,,,
1942,Ludhiana,India,23.73,23.73,23.70142857,23.47675325,23.40305844,,,
1943,Ludhiana,India,23.76,23.76,23.75142857,23.50597403,23.41022078,,,
1944,Ludhiana,India,23.27,23.27,23.74714286,23.53376623,23.41743506,,,
1945,Ludhiana,India,23.15,23.15,23.66571429,23.54792208,23.42427273,,,
1946,Ludhiana,India,24.3,24.3,23.76571429,23.57961039,23.43232468,,,
1947,Ludhiana,India,24.54,24.54,23.90571429,23.62571429,23.4427987,,,
1948,Ludhiana,India,23.78,23.78,23.79,23.6587013,23.45511688,,,
1949,Ludhiana,India,23.89,23.89,23.81285714,23.69272727,23.46934416,,,
1950,Ludhiana,India,22.82,22.82,23.67857143,23.71883117,23.48502597,,,
1951,Ludhiana,India,23.8,23.8,23.75428571,23.74480519,23.50214935,,,
1952,Ludhiana,India,24.02,24.02,23.87857143,23.76831169,23.52099351,,,
1953,Ludhiana,India,24.44,24.44,23.89857143,23.78623377,23.54081169,,,
1954,Ludhiana,India,23.85,23.85,23.8,23.79064935,23.56044156,,,
1955,Ludhiana,India,23.52,23.52,23.76285714,23.79207792,23.58066234,,,
